addr	name	kind	target
43c820	FUN_0043c820	gamemisc	game_misc
43c840	vfunc_0	game	Creature
43c870	FUN_0043c870	lib	audit
43c8a0	FUN_0043c8a0	game	Creature
43c8e0	FUN_0043c8e0	gamemisc	game_misc
43c920	FUN_0043c920	lib	audit
43c980	FUN_0043c980	gamemisc	game_misc
43c9c0	FUN_0043c9c0	gamemisc	game_misc
43ca60	FUN_0043ca60	game	GameController
43caa0	FUN_0043caa0	game	GameController
43cf20	FUN_0043cf20	gamemisc	game_misc
43cff0	FUN_0043cff0	game	Interface
43d1a0	FUN_0043d1a0	game	GameController
43dc60	FUN_0043dc60	gamemisc	game_misc
43df60	FUN_0043df60	game	GameController
43e190	FUN_0043e190	game	GameController
43e2c0	FUN_0043e2c0	gamemisc	game_misc
43e310	FUN_0043e310	gamemisc	game_misc
43e350	FUN_0043e350	game	GameController
43e420	FUN_0043e420	game	GameController
43e4a0	FUN_0043e4a0	game	GameController
43e550	FUN_0043e550	game	GameController
43e5a0	FUN_0043e5a0	gamemisc	game_misc
43e630	FUN_0043e630	lib	other
43e660	FUN_0043e660	gamemisc	game_misc
43e6a0	FUN_0043e6a0	game	GameController
43e9e0	FUN_0043e9e0	game	Interface
43ea40	FUN_0043ea40	game	Interface
43ec90	FUN_0043ec90	lib	other
43ed60	FUN_0043ed60	game	GameController
43ede0	FUN_0043ede0	lib	audit
43f040	FUN_0043f040	lib	audit
43f100	FUN_0043f100	lib	audit
43f3b0	FUN_0043f3b0	lib	audit
43f470	FUN_0043f470	lib	audit
43f720	FUN_0043f720	lib	audit
43f770	FUN_0043f770	gamemisc	game_misc
43f7c0	FUN_0043f7c0	gamemisc	game_misc
443f10	FUN_00443f10	game	GameController
443f40	FUN_00443f40	gamemisc	game_misc
444020	FUN_00444020	gamemisc	game_misc
4441a0	FUN_004441a0	gamemisc	game_misc
444230	FUN_00444230	gamemisc	game_misc
444270	FUN_00444270	gamemisc	game_misc
4444a0	FUN_004444a0	gamemisc	game_misc
444520	FUN_00444520	gamemisc	game_misc
444590	FUN_00444590	game	GameController
4445d0	FUN_004445d0	gamemisc	game_misc
444610	FUN_00444610	gamemisc	game_misc
444650	FUN_00444650	game	GameController
444680	FUN_00444680	gamemisc	game_misc
444760	FUN_00444760	game	GameController
444820	FUN_00444820	game	GameController
444860	FUN_00444860	lib	other
444a90	FUN_00444a90	game	GameController
444ae0	FUN_00444ae0	game	GameController
444bf0	FUN_00444bf0	game	CombatBehavior
444cb0	FUN_00444cb0	game	GameController
444d60	FUN_00444d60	game	GameController
444db0	FUN_00444db0	gamemisc	game_misc
444ff0	FUN_00444ff0	gamemisc	game_misc
445020	FUN_00445020	game	GameController
4452a0	FUN_004452a0	gamemisc	game_misc
4453b0	FUN_004453b0	lib	audit
445410	FUN_00445410	gamemisc	game_misc
4456a0	FUN_004456a0	game	CombatBehavior
445f10	FUN_00445f10	gamemisc	game_misc
445f60	FUN_00445f60	gamemisc	game_misc
445ff0	FUN_00445ff0	gamemisc	game_misc
4460a0	FUN_004460a0	game	GameController
4460f0	FUN_004460f0	game	GameController
446150	FUN_00446150	game	Interface
4462f0	FUN_004462f0	game	GameController
446330	FUN_00446330	game	Creature
4465c0	FUN_004465c0	game	Creature
4467a0	FUN_004467a0	game	Interface
446950	FUN_00446950	lib	other
